"","Fecha","Prec","pet","Q"
"373","01/01/1989",121.4132857,94.87185714,141.9
"374","02/01/1989",96.76985714,76.41742857,207.7
"375","03/01/1989",66.13357143,85.03785714,205.6
"376","04/01/1989",41.50957143,80.36685714,143.3
"377","05/01/1989",5.983,74.849,82.5
"378","06/01/1989",1.687428571,59.62028571,20.9
"379","07/01/1989",1.23,53.85285714,30.6
"380","08/01/1989",3.591142857,81.28042857,12.2
"381","09/01/1989",20.51271429,92.46271429,13.6
"382","10/01/1989",25.91028571,108.4027143,25.8
"383","11/01/1989",27.11428571,113.3598571,18.8
"384","12/01/1989",78.47142857,101.1127143,42.2
"385","01/01/1990",133.5008571,92.75342857,92.2
"386","02/01/1990",82.65171429,92.883,73
"387","03/01/1990",91.26642857,104.3781429,85.75
"388","04/01/1990",55.04928571,91.06614286,20.3
"389","05/01/1990",18.552,77.29857143,14.9
"390","06/01/1990",2.873,54.55128571,18.68
"391","07/01/1990",1.028571429,44.30642857,11.9
"392","08/01/1990",3.946571429,83.62185714,10
"393","09/01/1990",30.59028571,98.475,18.5
"394","10/01/1990",57.44871429,103.9267143,18.5
"395","11/01/1990",102.8814286,103.2638571,73.13
"396","12/01/1990",152.456,101.1577143,51.5
"397","01/01/1991",121.7467143,94.48485714,112.9
"398","02/01/1991",91.04042857,85.85242857,98.1
"399","03/01/1991",111.0755714,80.628,93.84
"400","04/01/1991",46.17871429,86.83928571,84.7
"401","05/01/1991",17.85614286,81.11828571,17.9
"402","06/01/1991",2.909142857,69.24242857,20.91
"403","07/01/1991",4.503142857,60.67842857,12.2
"404","08/01/1991",0.788571429,81.90271429,10
"405","09/01/1991",24.73057143,93.66357143,10.54
"406","10/01/1991",28.888,109.019,7.94
"407","11/01/1991",57.18714286,108.7614286,9.14
"408","12/01/1991",81.39242857,104.301,23.95
"409","01/01/1992",80.27471429,90.95314286,153.04
"410","02/01/1992",101.032,81.23314286,NA
"411","03/01/1992",39.54328571,88.36885714,110.75
"412","04/01/1992",33.49142857,87.38071429,37.33
"413","05/01/1992",0.317571429,84.53485714,10.82
"414","06/01/1992",0.412285714,70.67828571,4.62
"415","07/01/1992",8.124,57.771,7.84
"416","08/01/1992",20.53385714,80.14942857,8.12
"417","09/01/1992",17.44628571,92.32257143,8.06
"418","10/01/1992",65.15542857,110.8602857,7.07
"419","11/01/1992",77.42714286,108.7554286,9.09
"420","12/01/1992",132.1295714,101.8485714,32.75
"421","01/01/1993",205.8172857,92.98428571,132
"422","02/01/1993",68.50971429,83.07657143,143.45
"423","03/01/1993",108.8982857,91.76357143,158.7
"424","04/01/1993",45.76442857,82.45571429,109.34
"425","05/01/1993",12.41357143,84.07485714,53.21
"426","06/01/1993",0.312428571,74.834,15.9
"427","07/01/1993",0.269142857,65.83985714,10.82
"428","08/01/1993",15.71728571,84.19771429,9.75
"429","09/01/1993",16.58114286,93.156,8.26
"430","10/01/1993",69.691,104.3107143,12.81
"431","11/01/1993",94.46228571,101.4915714,64.43
"432","12/01/1993",138.1671429,93.39014286,130.23
"433","01/01/1994",161.3578571,96.46728571,218.59
"434","02/01/1994",170.623,79.32414286,270.12
"435","03/01/1994",127.9291429,85.42685714,170.85
"436","04/01/1994",89.49885714,85.52,163.49
"437","05/01/1994",34.11114286,84.187,75.89
"438","06/01/1994",0.404857143,76.12542857,24.34
"439","07/01/1994",0.693142857,62.86228571,17.07
"440","08/01/1994",0.184428571,91.88242857,12.3
"441","09/01/1994",21.89185714,95.36285714,9.66
"442","10/01/1994",22.25871429,115.1011429,9
"443","11/01/1994",126.8795714,105.8185714,19.79
"444","12/01/1994",154.1774286,98.49085714,47.54
"445","01/01/1995",130.69,95.07714286,108.61
"446","02/01/1995",122.0774286,80.76442857,79.37
"447","03/01/1995",211.2918571,92.94771429,220.44
"448","04/01/1995",20.06985714,89.57157143,104.97
"449","05/01/1995",4.952142857,82.98142857,29.89
"450","06/01/1995",0.003,70.435,16.36
"451","07/01/1995",0.910571429,68.20342857,11.66
"452","08/01/1995",3.473428571,89.16428571,8.81
"453","09/01/1995",28.91071429,92.14157143,8.07
"454","10/01/1995",19.84628571,112.0358571,7.18
"455","11/01/1995",55.208,109.7588571,13.46
"456","12/01/1995",91.663,97.40514286,22.55
"457","01/01/1996",196.5471429,85.59428571,76.75
"458","02/01/1996",102.2222857,77.87857143,NA
"459","03/01/1996",74.34528571,86.15742857,107.55
"460","04/01/1996",43.26528571,81.88985714,121.28
"461","05/01/1996",15.66971429,74.30242857,28.32
"462","06/01/1996",0.08,61.06828571,14.8
"463","07/01/1996",1.312571429,56.17985714,11.3
"464","08/01/1996",3.394714286,79.32871429,8.84
"465","09/01/1996",22.17114286,92.52057143,7.69
"466","10/01/1996",28.45414286,109.0585714,7.02
"467","11/01/1996",62.49514286,104.5084286,15.17
"468","12/01/1996",144.4435714,92.44271429,55.86
"469","01/01/1997",216.8611429,83.79471429,169.36
"470","02/01/1997",224.844,81.34742857,321.84
"471","03/01/1997",204.0447143,86.48614286,283.4
"472","04/01/1997",85.98614286,88.924,151.32
"473","05/01/1997",10.80271429,84.21957143,47.21
"474","06/01/1997",0.071857143,79.44914286,24.01
"475","07/01/1997",0.744142857,78.06242857,15.43
"476","08/01/1997",9.255285714,80.52271429,13.12
